,damage,stcode,ccode,rain1hr,raintot,stide,stidemhhw,windmax,year,gdp,pop,region
189,0,37,91,10.07112069,17.92133621,0,0,30.90583769,1996,493520.7023,23692.75338,2
190,10000,37,13,5.852016129,20.45286637,0,0,40.52291502,1996,781242.5744,45323.42256,2
191,50,37,187,5.028409091,11.35511364,0,0,34.37240777,1996,208115.5759,14400.6782,2
192,38000,37,107,14.76612903,42.45575717,0,0,49.52479225,1996,1213641.497,61066.02556,2
193,500,37,147,8.66125,33.58945513,0,0,43.26674125,1996,2266790.155,128194.6188,2
194,0,24,27,9.745065789,40.89473684,0,0,20.11291775,1996,7354059.183,233632.4812,3
195,25,24,33,5.346217105,21.86595395,0,0,21.47802126,1996,21035985.48,799240.3556,3
196,540,24,43,6.865234375,29.08203125,0,0,19.25360239,1996,3209003.173,133479.1451,3
197,5,24,13,14.38586957,50.13858696,0,0,19.66663717,1996,2541701.384,158955.3767,3
198,540,24,21,5.87306701,31.88015464,0,0,19.67483935,1996,4442821.374,194547.7233,3
199,415,24,31,4.918019481,21.45616883,0,0,20.4467973,1996,35748700.92,840360.8068,3
200,9615,24,1,9.366803279,50.54303279,0,0,21.23841953,1996,1670497.689,76441.91128,3
201,290,11,1,4.99375,18.5125,0,0,20.6645952,1996,46075251.51,497384.6737,3
202,0,48,61,2.952292899,21.13078847,0.250819023,0.049351756,13.03099811,1996,4063855.953,335166.4902,1
203,0,12,5,1.031449045,2.375361355,0.466701848,0.221192119,34.55020871,1996,3959878.891,146119.7451,2
204,0,12,45,3.049665179,3.890625,0.513173457,0.267370502,38.04648669,1996,232984.003,15736.86241,2
205,0,12,37,5.075797872,17.35150709,1.371938621,1.12718309,40.19441458,1996,228892.7571,9636.969173,2
206,0,12,129,3.026704545,11.66988636,1.446445402,0.958345402,41.88515488,1996,263754.615,22429.78496,2
207,0,12,65,7.425817757,19.27012989,1.367653507,0.861819383,41.90329311,1996,158276.2368,13685.15338,2
208,0,12,123,3.881756757,25.12045528,2.037607782,1.511807782,42.27779013,1996,384387.503,19790.1406,2
209,0,12,29,3.17387218,10.64476105,2.703256008,2.197456008,41.84700329,1996,94930.52481,14072.93308,2
210,910,12,75,2.359848485,8.848278794,2.608475141,2.057892916,39.36187341,1996,380647.5391,35940.95564,2
211,1200,12,17,3.318181818,9.779617106,2.461032143,1.984972097,34.10639298,1996,2889461.766,121151.0579,2
212,3930,12,53,3.020833333,11.46749664,2.049142969,1.658842969,30.91170858,1996,1636059.713,128913.4932,2
213,3270,12,101,2.843971631,19.78575135,1.590679331,1.124079331,30.29560882,1996,3582124.22,327339.3699,2
214,25020,12,103,3.169207317,11.77351916,1.118986716,0.743176456,30.49097632,1996,26593095.71,895058.088,2
215,2300,12,57,4.520833333,23.00575457,1.320934787,0.960593072,29.87996477,1996,30435326.52,914051.0489,2
216,4980,12,81,3.869166667,15.07633515,0.867621453,0.555121453,30.36724905,1996,6238612.135,238118.1128,2
217,20,12,109,10.14285714,20.0629333,0.686499342,-0.10749293,33.4749965,1996,1084627.403,93745.39098,2
218,470,12,31,3.422004132,6.126746135,0.736345232,-0.140057399,36.25131815,1996,27021886.77,747458.0827,2
