fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
12049,168,139,266532,757556.0,53547,44456,117207,51322,82.73809523809524,11842.0,22.50734673197095,63.97196419523729,2250.734673197095
12051,254,216,739264,2241025.0,133081,136182,282748,187253,85.03937007874016,18550.0,39.85250673854448,120.8099730458221,3985.2506738544475
12053,150,124,1220892,3545700.0,228127,231596,493679,267490,82.66666666666667,96982.0,12.588851539460931,36.56039265018251,1258.8851539460932
12055,208,180,1087104,3062208.0,224584,184028,472452,206040,86.53846153846153,62481.0,17.398953281797667,49.010227109041146,1739.8953281797667
12057,192,155,3742126,9727823.0,842143,731926,1618196,549861,80.72916666666667,604033.0,6.195234366334289,16.104787321222517,619.5234366334289
12059,112,87,136850,377022.0,26590,28112,56856,25292,77.67857142857143,9652.0,14.178408619975135,39.06154164939909,1417.8408619975135
12061,162,125,654634,1525278.0,129871,182279,280592,61892,77.1604938271605,89567.0,7.308874920450612,17.029463976687843,730.8874920450612
12063,120,96,220330,662531.0,40960,30871,100098,48401,80.0,21638.0,10.182549218966633,30.61886495979296,1018.2549218966633
12065,114,83,74863,212175.0,17964,12774,27771,16354,72.80701754385964,7978.0,9.38368012033091,26.595011281022813,938.368012033091
12067,129,117,104706,296459.0,20585,19098,44454,20569,90.69767441860465,4046.0,25.878892733564015,73.27212061295106,2587.8892733564016
12069,164,134,1661094,4271312.0,387242,332028,699634,242190,81.70731707317073,193545.0,8.582469193210882,22.068831537885245,858.2469193210882
12071,246,213,7120895,20722186.0,1187505,1280350,3221303,1431737,86.58536585365853,428762.0,16.608036626380137,48.330276470396164,1660.8036626380137
12073,123,95,718255,1887500.0,162798,176156,242420,136881,77.23577235772358,142168.0,5.052156603455067,13.276546058184683,505.21566034550676
12075,151,129,731044,2144550.0,141597,103707,338398,147342,85.43046357615894,21831.0,33.48651000870322,98.23416242957262,3348.651000870322
12077,122,101,52261,165697.0,10784,7925,18108,15444,82.78688524590164,3530.0,14.804815864022663,46.939660056657225,1480.4815864022662
12079,118,97,134346,406716.0,24926,18670,60460,30290,82.20338983050847,8764.0,15.32930168872661,46.407576449109996,1532.930168872661
12081,190,159,2150474,6010069.0,461016,381097,894070,414291,83.6842105263158,218721.0,9.832041733532675,27.478243972915266,983.2041733532675
12083,161,130,2429225,6799039.0,430693,416178,1180652,401702,80.74534161490683,199294.0,12.189152709062993,34.11562314971851,1218.9152709062994
12085,184,147,820980,2206102.0,200324,170156,289126,161374,79.8913043478261,87075.0,9.428423772609818,25.335653172552398,942.8423772609818
12086,274,232,7180352,13150434.0,2174662,2257622,2590086,157982,84.67153284671532,1107178.0,6.4852733706775245,11.87743434208411,648.5273370677525
12087,326,275,763157,2183153.0,167668,139927,285938,169624,84.3558282208589,58120.0,13.130712319339297,37.56285271851342,1313.0712319339298
