FIPS,exposed_units,county_name,state_fips
45009,5627.0,Bamberg,45
45011,9518.0,Barnwell,45
45013,100957.0,Beaufort,45
45015,98583.0,Berkeley,45
45017,6647.0,Calhoun,45
45019,213005.0,Charleston,45
45021,32209.0,Cherokee,45
45023,14637.0,Chester,45
45025,35747.0,Chesterfield,45
45027,18172.0,Clarendon,45
45029,24155.0,Colleton,45
45031,31664.0,Darlington,45
45033,15564.0,Dillon,45
45035,67069.0,Dorchester,45
45037,10081.0,Edgefield,45
45039,11911.0,Fairfield,45
45041,61843.0,Florence,45
45043,38054.0,Georgetown,45
45045,224364.0,Greenville,45
45047,36586.0,Greenwood,45
45049,13010.0,Hampton,45
45051,210646.0,Horry,45
45053,13501.0,Jasper,45
45055,34061.0,Kershaw,45
45057,43579.0,Lancaster,45
45059,30708.0,Laurens,45
45061,7310.0,Lee,45
45063,132741.0,Lexington,45
45065,3802.0,McCormick,45
45067,15876.0,Marion,45
45069,10946.0,Marlboro,45
45071,23978.0,Newberry,45
45073,47720.0,Oconee,45
45075,47319.0,Orangeburg,45
45077,64378.0,Pickens,45
45079,190520.0,Richland,45
45081,11407.0,Saluda,45
45083,151387.0,Spartanburg,45
45085,58926.0,Sumter,45
45087,19383.0,Union,45
45089,18643.0,Williamsburg,45
45091,111725.0,York,45
48001,23520.0,Anderson,48
48003,8413.0,Andrews,48
48005,39813.0,Angelina,48
48007,18120.0,Aransas,48
48009,4054.0,Archer,48
48011,947.0,Armstrong,48
48013,26164.0,Atascosa,48
48015,17125.0,Austin,48
48017,3636.0,Bailey,48
48019,19539.0,Bandera,48
48021,44879.0,Bastrop,48
48023,2923.0,Baylor,48
48025,11058.0,Bee,48
48027,165371.0,Bell,48
48029,805956.0,Bexar,48
48031,6112.0,Blanco,48
48033,404.0,Borden,48
48035,9487.0,Bosque,48
48037,40920.0,Bowie,48
48039,151618.0,Brazoria,48
48041,99047.0,Brazos,48
48043,5849.0,Brewster,48
48045,1026.0,Briscoe,48
48047,3144.0,Brooks,48
48049,20449.0,Brown,48
48051,10910.0,Burleson,48
48053,27970.0,Burnet,48
48055,20869.0,Caldwell,48
48057,13658.0,Calhoun,48
48059,6136.0,Callahan,48
48061,169792.0,Cameron,48
48063,5844.0,Camp,48
48065,3622.0,Carson,48
48067,14555.0,Cass,48
48069,3374.0,Castro,48
48071,19018.0,Chambers,48
48073,24294.0,Cherokee,48
48075,3439.0,Childress,48
48077,5496.0,Clay,48
48079,1760.0,Cochran,48
48081,2875.0,Coke,48
48083,5573.0,Coleman,48
48085,422478.0,Collin,48
48087,1937.0,Collingsworth,48
48089,15721.0,Colorado,48
48091,74110.0,Comal,48
48093,8914.0,Comanche,48
48095,2085.0,Concho,48
48097,25875.0,Cooke,48
48099,28024.0,Coryell,48
48101,1012.0,Cottle,48
48103,2060.0,Crane,48
48105,2363.0,Crockett,48
48107,3040.0,Crosby,48
48109,1775.0,Culberson,48
48111,4184.0,Dallam,48
48113,1072236.0,Dallas,48
48115,5687.0,Dawson,48
48117,8472.0,Deaf Smith,48
48119,2852.0,Delta,48
48121,358127.0,Denton,48
48123,15209.0,DeWitt,48
48125,1390.0,Dickens,48
48127,5164.0,Dimmit,48
48129,2169.0,Donley,48
48131,5392.0,Duval,48
48133,11804.0,Eastland,48
48135,75805.0,Ector,48
48137,2911.0,Edwards,48
48139,75529.0,Ellis,48
48141,321308.0,El Paso,48
48143,17970.0,Erath,48
48145,7688.0,Falls,48
48147,18215.0,Fannin,48
48149,20225.0,Fayette,48
48151,2033.0,Fisher,48
48153,3029.0,Floyd,48
48155,862.0,Foard,48
48157,300480.0,Fort Bend,48
48159,6187.0,Franklin,48
48161,10764.0,Freestone,48
48163,7240.0,Frio,48
48165,8978.0,Gaines,48
48167,158145.0,Galveston,48
48169,2418.0,Garza,48
48171,18408.0,Gillespie,48
48173,537.0,Glasscock,48
48175,5050.0,Goliad,48
48177,11593.0,Gonzales,48
48179,11113.0,Gray,48
48181,70883.0,Grayson,48
48183,59796.0,Gregg,48
48185,12700.0,Grimes,48
48187,73791.0,Guadalupe,48
48189,15494.0,Hale,48
48191,2200.0,Hall,48
48193,5323.0,Hamilton,48
48195,2861.0,Hansford,48
48197,2393.0,Hardeman,48
48199,25782.0,Hardin,48
48201,1944859.0,Harris,48
48203,32701.0,Harrison,48
48205,2517.0,Hartley,48
48207,3664.0,Haskell,48
48209,95878.0,Hays,48
