fips,median_weighted_damage,median_recovery_months,max_weighted_damage,max_recovery_months,damage_ratio,recovery_ratio
13027,1259.0,387.38461538461536,25375.0,7807.692307692308,20.154884829229548,20.154884829229548
13029,1115.0,26.235294117647054,15020.0,353.4117647058824,13.47085201793722,13.470852017937222
13031,1481.5,26.613772453496185,19201.0,344.92814369192047,12.96051299358758,12.960512993587578
13033,700.0,129.23076922281655,6762.0,1248.369230692408,9.66,9.660000000000002
13035,1160.0,232.0,2774.0,554.8,2.3913793103448278,2.3913793103448273
13037,571.0,1370.39999890368,3087.0,7408.79999407296,5.406304728546409,5.406304728546409
13039,1205.0,37.754569186657484,127552.0,3996.407310287581,105.85228215767634,105.85228215767634
13043,1440.0,2468.5714299820406,8592.0,14729.14286555951,5.966666666666667,5.966666666666667
13045,254.0,3.4794520547945207,254.0,3.4794520547945207,1.0,1.0
13049,1091.0,267.1836734911987,29435.0,7208.571429159884,26.979835013748854,26.979835013748854
13051,1683.0,7.496659242761693,343696.0,1530.9398663697104,204.21628045157456,204.21628045157456
13059,1044.0,10.689419794857017,1557.0,15.941979521640206,1.4913793103448276,1.4913793103448276
13061,407.0,1628.0,2445.0,9780.0,6.007371007371007,6.007371007371007
13069,2400.0,261.81818180866117,23553.0,2569.4181817247486,9.81375,9.81375
13071,5572.0,711.3191489664391,23569.0,3008.8085107663323,4.2298994974874375,4.2298994974874375
13073,740.5,7.325638914204662,2504.0,24.771640568762287,3.3814989871708305,3.3814989871708305
13075,2325.0,593.6170212260752,21167.0,5404.340425071971,9.104086021505376,9.104086021505376
13077,962.0,11.98753894080997,962.0,11.98753894080997,1.0,1.0
13079,2384.0,665.3023256432839,8281.0,2310.976744401021,3.473573825503356,3.4735738255033555
13081,1274.5,728.2857142857142,6627.0,3786.857142857143,5.199686151431934,5.199686151431935
13087,1787.5,155.43478260869566,40052.0,3482.782608695652,22.406713286713288,22.406713286713284
13091,605.0,558.4615386333728,5407.0,4991.076924612639,8.937190082644628,8.937190082644628
13093,942.0,205.5272727422202,6560.0,1431.2727273768198,6.963906581740977,6.963906581740976
13095,1253.0,334.1333333333333,39667.0,10577.866666666669,31.657621707901036,31.657621707901043
13099,843.5,920.1818178472067,5007.0,5462.181816195571,5.935981031416716,5.935981031416715
13101,458.0,422.76923089931364,3307.0,3052.6153855546518,7.220524017467249,7.22052401746725
13103,4980.5,71.49043061858899,50889.0,730.4641147975855,10.21764883043871,10.217648830438709
13105,2755.0,429.3506493283454,4700.0,732.4675324294822,1.705989110707804,1.705989110707804
13107,834.0,131.68421053324656,10737.0,1695.3157895629115,12.87410071942446,12.87410071942446
13109,994.0,458.7692306986509,5986.0,2762.769230344189,6.022132796780684,6.022132796780683
13119,35.0,2.576687117196733,1120.0,82.45398775029545,32.0,32.0
13121,1.0,1.0,1.0,1.0,1.0,1.0
13127,2452.0,40.087193458305876,89141.0,1457.346048966902,36.35440456769984,36.35440456769983
13131,2950.5,643.7454545922725,39344.0,8584.145455169757,13.334689035756652,13.33468903575665
13133,2174.0,88.43389831707579,3288.0,133.74915256050838,1.5124195032198713,1.5124195032198713
13141,207.0,88.71428572695918,3834.0,1643.1428573775918,18.52173913043478,18.521739130434785
13145,560.5,35.58730158730158,1380.0,87.61904761904762,2.4620874219446924,2.462087421944693
13147,133.0,9.38823529190865,1470.0,103.76470585793771,11.052631578947368,11.052631578947368
13149,119.5,28.679999997705597,232.0,55.67999999554559,1.9414225941422594,1.9414225941422594
13151,739.5,4.461538461538462,1652.0,9.96681749622926,2.23394185260311,2.2339418526031096
13153,1337.0,10.384466019417475,15445.0,119.96116504854368,11.551982049364248,11.551982049364247
13155,922.0,345.74999995678127,4314.0,1617.7499997977814,4.678958785249458,4.678958785249458
13157,1532.0,8.483617906503667,3386.0,18.750346104060977,2.210182767624021,2.210182767624021
13159,1520.0,99.67213114754098,4017.0,263.40983606557376,2.642763157894737,2.642763157894737
13161,1024.5,1229.40000049176,7162.0,8594.40000343776,6.990727183992191,6.990727183992192
13163,640.0,768.0000003072,4095.0,4914.0000019656,6.3984375,6.3984375
13165,600.5,257.35714289390813,4451.0,1907.5714288439387,7.4121565362198165,7.412156536219817
13169,1655.0,187.35849057310784,12089.0,1368.5660377874929,7.304531722054381,7.304531722054381
13171,149.0,13.86046511627907,4128.0,384.0,27.70469798657718,27.70469798657718
13173,1182.0,405.25714281082776,13893.0,4763.314285169907,11.753807106598984,11.753807106598984
13175,2713.0,591.927272770322,14265.0,3112.36363658999,5.258016955399926,5.258016955399926
13177,853.0,76.96240603818418,13421.0,1210.9172935972683,15.73388042203986,15.733880422039858
13179,1437.0,36.611464968152866,26870.0,684.5859872611464,18.698677800974252,18.698677800974252
13181,515.0,83.51351350899927,610.0,98.91891891357194,1.1844660194174756,1.1844660194174756
13183,2372.0,95.51677853631098,11807.0,475.44966449334896,4.977655986509275,4.977655986509275
13185,2242.0,30.026785712945237,136703.0,1830.843749918266,60.973684210526315,60.97368421052631
13189,417.0,78.18750000488673,2943.0,551.8125000344883,7.057553956834532,7.057553956834531
13191,1626.0,153.6377953239804,11935.0,1127.716535788257,7.34009840098401,7.340098400984009
13193,1094.0,1009.8461541568759,6492.0,5992.615386459267,5.93418647166362,5.93418647166362
13195,6369.0,404.3809523809524,10610.0,673.6507936507936,1.6658816140681425,1.6658816140681423
13197,988.0,846.8571426151836,4728.0,4052.571427413551,4.7854251012145745,4.785425101214575
13199,107.5,7.2,2697.0,179.8,25.088372093023256,24.97222222222222
