fips,earp_months_per_year,num_events,total_recovery_months,mean_recovery_per_event,max_recovery
13211,0.12992177411465325,6,192.95121946513385,32.158536577522305,154.3170731330934
13215,0.1298366119587629,17,192.82474226804123,11.342631898120073,76.82474226804123
13217,0.013428583408124833,8,19.943243247281956,2.4929054059102445,14.943243247281957
13219,0.005420889492131239,5,8.050746268053642,1.6101492536107282,3.4388059697386497
13221,0.32966726390580936,5,489.5999998601143,97.91999997202285,166.1142856668245
13225,1.3296024703814955,17,1974.637583362782,116.15515196251658,510.7651005340228
13229,21.494298268249743,79,31921.90909236009,404.0747986374695,2362.5000001073863
13231,0.33323670594871374,8,494.90109892285284,61.862637365356605,480.6593406804686
13235,2.4420117971428574,26,3626.714285714286,139.48901098901098,568.2857142857143
13237,1.92036568,6,2852.0,475.3333333333333,1201.3023255813953
13239,36.03244342,29,53513.0,1845.2758620689656,5892.0
13243,37.729356432988205,49,56033.1428891618,1143.5335283502409,5688.000003250286
13245,0.4266995188235294,17,633.7058823529412,37.27681660899654,153.2620320855615
13247,0.00988680596273292,4,14.683229813664596,3.670807453416149,14.683229813664596
13249,3.9592392,24,5880.0,245.0,1098.0
13251,51.39598363975722,56,76329.91303020349,1363.0341612536338,7101.391303112801
13253,286.41863608641864,80,425370.00042537,5317.125005317125,41220.00004122
13255,0.06716861824561404,6,99.75438596491229,16.625730994152047,37.824561403508774
13259,82.78445947443109,29,122945.99975410801,4239.517232900276,32435.999935128002
13261,11.507898553846154,41,17090.76923076923,416.84803001876173,2479.3846153846152
13263,36.97848604604303,17,54917.99989016401,3230.4705817743534,14255.999971488001
13265,0.0,0,0.0,,
13267,39.16915389992758,65,58171.43478766682,894.9451505794896,4436.608696037966
13269,21.95431190474389,19,32605.090897234513,1716.0574156439218,8029.09090617124
13271,363.1187966524752,51,539280.00215712,10574.117689355295,57348.000229392004
13273,121.56884339686233,46,180545.99963890802,3924.9130356284354,27515.999944968
13275,11.331031905633804,97,16828.098591549297,173.48555249019893,1991.605633802817
13277,6.030631979993038,53,8956.295452509934,168.98670665113082,1220.5227269953357
13279,25.17508077090909,52,37388.36363636364,719.0069930069931,3755.6363636363635
13283,0.0,0,0.0,,
13285,0.042514176202531645,7,63.139240506329116,9.01989150090416,28.075949367088608
13287,25.442376346666666,43,37785.33333333333,878.7286821705425,4448.0
13289,15.258653940147802,20,22661.14287009208,1133.057143504604,6512.571432292898
13293,1.227444224864865,16,1822.9189189189187,113.93243243243242,1198.162162162162
13297,0.0122573739431458,4,18.203840471598003,4.550960117899501,16.909896601659682
13299,64.154353852,90,95277.8,1058.6422222222222,7536.0
13301,16.1844003047376,10,24036.000096144,2403.6000096144,10836.000043344
13303,1.3403138763636364,17,1990.5454545454545,117.0909090909091,876.9090909090909
13305,19.23497331109879,89,28566.509209461474,320.9720135894548,1739.190184475875
13307,0.0,0,0.0,,
13309,0.0,0,0.0,,
13315,0.0,0,0.0,,
13317,1.7713330933333333,6,2630.6666666666665,438.4444444444444,1041.3333333333333
13319,0.0,0,0.0,,
13321,30.450713792238354,56,45223.38460842717,807.5604394361995,3704.7692301992665
22001,87.94624473519818,145,130611.94156770455,900.7720108117555,11624.145982007549
22003,76.53767953709024,123,113668.69566205815,924.1357370899036,7370.086957162616
22005,36.59339843854922,119,54346.0932642487,456.6898593634345,5518.424870466321
22007,169.013457384,134,251007.6,1873.1910447761195,17704.8
22009,194.788643248,75,289287.2,3857.1626666666666,39986.4
22011,90.61301875177774,136,134572.45782483998,989.5033663591175,8150.168674306015
22013,7.693133946666667,10,11425.333333333332,1142.5333333333333,5946.0
22015,0.2853532162969077,6,423.78770947353144,70.63128491225524,281.07821227480014
22017,0.9481114684256811,7,1408.0723979351903,201.1531997050272,670.7511311003165
22019,19.431903491461846,166,28858.976878637604,173.84925830504582,2738.893681744563
22021,22.986929813333333,19,34138.666666666664,1796.7719298245613,6372.0
22023,82.85044696,197,123044.0,624.5888324873097,4620.0
22025,4.686042396,46,6959.4,151.29130434782607,1644.8
22027,21.493012800000002,5,31920.0,6384.0,31032.0
22029,13.076562062222223,53,19420.444444444445,366.42348008385744,3649.777777777778
22031,1.6835168452501412,12,2500.2477875221152,208.3539822935096,1009.3805309377211
22033,11.836923718577745,115,17579.41562743598,152.86448371683463,3488.536411458519
22035,0.0,0,0.0,,
22037,50.853426351428574,96,75524.14285714286,786.7098214285714,4132.285714285715
22039,115.57861863365409,110,171649.71431023566,1560.4519482748697,15661.714287951672
22041,10.539276110461346,14,15652.235290434766,1118.0168064596262,5856.705880974892
22043,271.43735925485015,37,403120.79967750335,10895.156748040632,42647.9999658816
22045,42.32222697286421,137,62854.17021543976,458.7895636163486,18842.936171014593
22047,33.76924408923077,128,50151.846153846156,391.8112980769231,3939.1794871794873
22049,0.0,0,0.0,,
22051,46.575910508836884,174,69171.45945411958,397.5371232995378,15306.718145536162
22053,80.00353616434782,151,118815.95652173914,786.8606392168155,7766.086956521739
22055,17.568528568935204,150,26091.615779450505,173.9441051963367,3966.617035701355
22057,52.71717961306436,190,78292.0658405328,412.06350442385684,4428.677116542781
22061,1.1864487059649125,6,1762.0350877192984,293.6725146198831,1175.7894736842106
22063,30.68987552646402,117,45578.571786117,389.5604426163846,2460.846347483081
22065,11.118190057763622,12,16511.999966976004,1375.9999972480002,11591.999976816001
22067,12.607863006324415,6,18724.363629554777,3120.727271592463,11133.81817776952
22069,9.38206439918397,42,13933.621052044984,331.75288219154726,2451.410526212572
22071,36.58377610667718,122,54331.80281384914,445.3426460151569,9593.459154389102
22073,2.6916268813913042,9,3997.426086956522,444.1584541062802,1135.7217391304348
22075,60.8685893227666,164,90398.00000410878,551.2073170982243,5360.590909334573
22077,66.992481952,113,99492.8,880.4672566371681,7644.6
22079,31.84819032713849,81,47298.824259866466,583.93610197366,8113.255228767655
22081,24.035005948771996,11,35695.19997144384,3245.0181792221674,13672.799989061761
22083,4.303690017777778,10,6391.555555555556,639.1555555555556,2568.0
22085,26.811354438107053,46,39818.448982842325,865.6184561487462,6979.10204138605
