fips,earp_months_per_year,num_events,total_recovery_months,mean_recovery_per_event,max_recovery
12131,4.104911159105099,143,6096.342351716961,42.63176469732141,437.7939646201873
12133,25.698570326764468,123,38165.81567523757,310.291184351525,1872.6082952760569
13001,400.13162206013163,73,594249.000594249,8140.39726841437,44661.000044661
13003,39.24539745333334,70,58284.666666666664,832.6380952380952,4910.666666666667
13005,0.0,0,0.0,,
13007,0.0,0,0.0,,
13009,0.9662028997951545,11,1434.9405943433549,130.449144940305,675.9801981536596
13011,0.05949156941176471,3,88.35294117647058,29.45098039215686,84.70588235294117
13013,0.00067334,3,1.0,0.3333333333333333,1.0
13017,65.70586388,46,97582.0,2121.3478260869565,8736.0
13019,14.474284975000002,70,21496.25,307.0892857142857,1612.25
13021,0.5276099858511524,16,783.5714287746939,48.97321429841837,191.22077927044697
13023,0.9364738591169348,19,1390.788990876726,73.19942057245926,250.01834863302815
13025,69.14800544891006,92,102694.04082470972,1116.2395741816274,6973.714286283569
13027,41.988291106153845,90,62358.230769230766,692.8692307692307,7792.615384615385
13029,2.8885652268235296,96,4289.905882352941,44.68651960784314,351.45882352941175
13031,2.4646139027268315,79,3660.2814369068096,46.332676416541894,336.6287424948127
13033,5.308571123365792,36,7883.938461053542,218.9982905848206,1184.3076922348118
13035,0.801005264,7,1189.6,169.94285714285712,535.6
13037,54.71991773222407,53,81266.39993498688,1533.3283006601298,7408.79999407296
13039,6.443812815359122,103,9569.924280986013,92.91188622316518,3203.9373364800063
13043,71.67723542381556,46,106450.28577511445,2314.136647285097,14060.57143660604
13045,0.0023428542465753427,1,3.4794520547945207,3.4794520547945207,3.4794520547945207
13049,32.52377861571568,113,48302.16326924834,427.4527722942331,6986.693878121363
13051,2.7577322037861918,87,4095.6013363028956,47.07587742876891,1315.6035634743876
13053,0.0,0,0.0,,
13059,0.02401962348040889,4,35.672354947587976,8.918088736896994,15.941979521640206
13061,65.61563632000001,47,97448.0,2073.3617021276596,9288.0
13063,0.0,3,0.0,0.0,0.0
13065,0.0,0,0.0,,
